Title,Year,Length,Rating
1984,1984,1:53,R
2012,2009,2:38,PG-13
101 Dalmatians,1996,1:43,G
12 Angry Men,1957,1:36,NR
127 Hours,2010,1:34,R
13 Hours,2016,2:24,R
2149: The Aftermath,2016,1:34,NR
8 Mile,2002,1:50,R
A Bug's Life,1998,1:35,G
A Charlie Brown Christmas,1965,0:25,TV-G
A Charlie Brown Thanksgiving,1973,0:25,TV-G
A Christmas Story,1983,1:33,PG
A Goofy Movie,1995,1:18,G
Ad Astra,2019,2:03,PG-13
Air Bud,1997,1:38,PG
Airplane!,1980,1:28,PG
Aladdin,1992,1:30,G
Alice in Wonderland,2010,1:48,PG
Alien Code,2018,1:37,NR
Allegiant,2016,2:00,PG-13
Alvin and the Chipmunks,2007,1:32,PG
Alvin and the Chipmunks: The Squeakquel,2009,1:28,PG
Angel Has Fallen,2019,2:01,R
Apocalypto,2006,2:19,R
Apollo 18,2011,1:26,PG-13
Arrival,2016,1:56,PG-13
Artic Void,2022,1:25,NR
Avatar,2009,2:42,PG-13
Avatar: The Way of Water,2022,3:12,PG-13
Battleship,2012,2:11,PG-13
Beauty and the Beast,1991,1:24,G
Bee Movie,2007,1:31,PG
Beetlejuice,1988,1:32,PG
Bigfoot: The Lost Coast Tapes,2012,1:30,NR
Bird Box,2018,2:04,R
Black Hawk Down,2001,2:24,R
Black Mountain Side,2014,1:39,NR
Black Sheep,1996,1:27,PG-13
Bob Lazar: Area 51 & Flying Saucers,2018,1:37,NR
Bolt,2008,1:36,PG
Borat,2006,1:24,R
Caddyshack,1980,1:38,PG-13
Camp Rock,2008,1:34,TV-G
Cars,2006,1:57,G
Cars 2,2011,1:46,G
Cast Away,2000,2:23,PG-13
Chappie,2015,2:00,R
Charlie and the Chocolate Factory,2005,1:55,PG
Charlotte's Web,2006,1:37,G
Chicken Little,2005,1:21,G
Cinderella,1950,1:14,G
Cloudy with a Chance of Meatballs,2009,1:30,PG
Contact,1997,2:30,PG
Cruella,2021,2:14,PG-13
Cube,1997,1:30,R
Denial,2016,1:49,PG-13
Deuce Bigalow: Male Gigolo,1999,1:28,R
Devil's Pass,2013,1:40,R
Diary of a Wimpy Kid,2010,1:34,PG
Diary of a Wimpy Kid: Dog Days,2012,1:34,PG
Diary of a Wimpy Kid: Rodrick Rules,2011,1:39,PG
District 9,2009,1:52,R
Divergent,2014,2:19,PG-13
Don't Look Up,2021,2:18,R
Drone,2017,1:31,TV-MA
E.T. the Extra-Terrestrial,1982,1:55,PG
Elf,2003,1:37,PG
Escape 2120,2020,1:47,TV-PG
Europa Report,2013,1:30,PG-13
Ex Machina,2014,1:48,R
Finding Nemo,2003,1:40,G
Forrest Gump,1994,2:22,PG-13
Fred 2: Night of the Living Fred,2011,1:24,G
Fred 3: Camp Fred,2012,1:21,TV-PG
Fred: The Movie,2010,1:21,TV-PG
Friends with Benefits,2011,1:49,R
Frozen,2010,1:33,R
Full Metal Jacket,1987,1:56,R
G.I. Joe: Retaliation,2013,1:50,PG-13
Ghost in the Shell,2017,1:47,PG-13
"Good Luck Charlie, It's Christmas!",2011,1:30,TV-G
Gravity,2013,1:31,PG-13
Happy Feet,2006,1:48,PG
Harry Potter and the Chamber of Secrets,2002,2:41,PG
Harry Potter and the Deathly Hollows: Part 1,2010,2:26,PG-13
Harry Potter and the Deathly Hollows: Part 2,2011,2:10,PG-13
Harry Potter and the Goblet of Fire,2005,2:37,PG-13
Harry Potter and the Half-Blood Prince,2009,2:33,PG
Harry Potter and the Order of the Phoenix,2007,2:18,PG-13
Harry Potter and the Prisoner of Azkaban,2004,2:22,PG
Harry Potter and the Sorcerer's Stone,2001,2:32,PG
Harsh Times,2005,1:56,R
Hidden Figures,2016,2:07,PG
High School Musical,2006,1:38,TV-G
High School Musical 2,2007,1:44,TV-G
High School Musical 3: Senior Year,2008,1:52,G
Holes,2003,1:57,PG
Home Alone,1990,1:43,PG
Home Alone 2: Lost in New York,1992,2:00,PG
Home Alone 3,1997,1:42,PG
Hot Tub Time Machine,2010,1:39,R
Hot Tub Time Machine 2,2015,1:33,R
Hotel Rwanda,2004,2:01,PG-13
How the Grinch Stole Christmas,2000,1:44,PG
Hugo,2011,2:06,PG
Ice Age,2002,1:21,PG
Inception,2010,2:28,PG-13
Incredibles 2,2018,1:58,PG
Inside Out,2015,1:35,PG
Insurgent,2015,1:59,PG-13
Interstellar,2014,2:49,PG-13
It,2017,2:15,R
It Chapter Two,2019,2:49,R
"It's the Great Pumpkin, Charlie Brown",1966,0:25,TV-G
James and the Giant Peach,1996,1:19,PG
Joker,2019,2:02,R
Jumanji,1995,1:44,PG
Kung Fu Panda,2008,1:32,PG
Lemonade Mouth,2011,1:43,TV-G
Life,2017,1:44,R
London Has Fallen,2016,1:39,R
Lord of the Flies,1990,1:30,R
Madagascar,2005,1:26,PG
Madagascar: Escape 2 Africa,2008,1:29,PG
Matilda,1996,1:42,PG
Maze Runner: The Death Cure,2018,2:23,PG-13
Maze Runner: The Scorch Trials,2015,2:11,PG-13
Meet the Robinsons,2007,1:35,G
Minority Report,2002,2:25,PG-13
Moana,2016,1:47,PG
Monster House,2006,1:31,PG
"Monsters, Inc.",2001,1:32,G
Next,2007,1:36,PG-13
Night at the Museum,2006,1:48,PG
Night at the Museum: Battle of the Smithsonian,2009,1:45,PG
No Country for Old Men,2007,2:02,R
Of Mice and Men,1992,1:55,PG-13
Olympus Has Fallen,2013,1:59,R
One Flew Over the Cuckoo's Nest,1975,2:13,R
One Hundred and One Dalmatians,1961,1:19,G
Over the Hedge,2006,1:23,PG
Percy Jackson & the Olympians: The Lightning Thief,2010,1:58,PG
Percy Jackson: Sea of Monsters,2013,1:46,PG
Peter Pan,1953,1:17,G
Phineas and Ferb the Movie: Across the 2nd Dimension,2011,1:18,TV-G
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2:23,PG-13
Portals,2019,1:25,NR
Poseidon,2006,1:38,PG-13
Predator,1987,1:47,R
Project Gemini,2022,1:38,NR
Prometheus,2012,2:04,R
Puss in Boots,2011,1:30,TV-G
Radius,2017,1:33,NR
Rango,2011,1:47,PG
Ratatouille,2007,1:51,G
Realive,2016,1:52,NR
Risen,2021,1:49,TV-MA
Robin Hood,1973,1:23,G
Rudolph the Red-Nosed Reindeer,1964,0:47,TV-G
Saving Private Ryan,1998,2:49,R
Scary Movie,2000,1:28,R
Scary Movie 2,2001,1:23,R
Scooby-Doo,2002,1:26,PG
Scooby-Doo 2: Monsters Unleashed,2004,1:33,PG
Searching,2018,1:42,PG-13
Shot Caller,2017,2:01,R
Shrek,2001,1:30,PG
Skyline,2010,1:32,PG-13
Sleeping Beauty,1959,1:15,G
Slender Man,2018,1:33,PG-13
Snow White and the Seven Dwarfs,1937,1:23,NR
Song of the South,1946,1:34,G
Sonic the Hedgehog,2020,1:39,PG
Sonic the Hedgehog 2,2022,2:02,PG
"South Park: Bigger, Longer & Uncut",1999,1:21,R
Spy Kids,2001,1:28,PG
Spy Kids 2: Island of Lost Dreams,2002,1:40,PG
Spy Kids 3: Game Over,2003,1:24,PG
Spy Kids 4: All the Time in the World,2011,1:29,PG
Star Wars: Episode I - The Phantom Menace,1999,2:16,PG
Star Wars: Episode II - Attack of the Clones,2002,2:22,PG
Star Wars: Episode III - Revenge of the Sith,2005,2:20,PG-13
Star Wars: Episode IV - A New Hope,1977,2:01,PG
Star Wars: Episode IX - The Rise of Skywalker,2019,2:21,PG-13
Star Wars: Episode V - The Empire Strikes Back,1980,2:04,PG
Star Wars: Episode VI - Return of the Jedi,1983,2:11,PG
Star Wars: Episode VII - The Force Awakens,2015,2:18,PG-13
Star Wars: Episode VIII - The Last Jedi,2017,2:32,PG-13
Steve Jobs,2015,2:02,R
Stuart Little,1999,1:24,PG
Suicide Squad,2016,2:03,PG-13
Sunshine,2007,1:47,R
Ted,2012,1:46,R
Ted 2,2015,1:55,R
Terminator 3: Rise of the Machines,2003,1:49,R
Terminator Genisys,2015,2:06,PG-13
The Adventures of Huck Finn,1993,1:48,PG
The Adventures of Sharkboy and Lavagirl 3-D,2005,1:33,PG
The Autopsy of Jane Doe,2016,1:26,R
The Black Phone,2021,1:43,R
The Cat in the Hat,2003,1:22,PG
The Circle,2017,1:50,PG-13
The Crucible,1996,2:04,PG-13
The Dark Knight,2008,2:32,PG-13
The Dark Knight Rises,2012,2:44,PG-13
The Day After Tomorrow,2004,2:04,PG-13
The Dictator,2012,1:23,R
The Giver,2014,1:37,PG-13
The Godfather,1972,2:55,R
The Great Gatsby,2013,2:23,PG-13
The Hobbit: An Unexpected Journey,2012,2:49,PG-13
The Hunger Games,2012,2:22,PG-13
The Hunger Games: Catching Fire,2013,2:26,PG-13
The Hunger Games: Mockingjay - Part 1,2014,2:03,PG-13
The Hunger Games: Mockingjay - Part 2,2015,2:17,PG-13
The Incredibles,2004,1:55,PG
The Internship,2013,1:59,PG-13
The Interview,2014,1:52,R
The Jungle Book,1967,1:18,G
The Karate Kid,1984,2:06,PG
The Karate Kid,2010,2:20,PG
The Last Days on Mars,2013,1:38,R
The Last Samurai,2003,2:34,R
The Lion King,1994,1:28,G
The Little Mermaid,1998,1:23,G
The Lorax,2012,1:26,PG
The Lord of the Rings: The Fellowship of the Ring,2001,2:58,PG-13
The Lord of the Rings: The Return of the King,2003,3:21,PG-13
The Lord of the Rings: The Two Towers,2002,2:59,PG-13
The Lost Tribe,2010,1:40,R
The Mandela Effect,2019,1:19,TV-MA
The Martian,2015,2:24,PG-13
The Mask,1994,1:41,PG-13
The Maze Runner,2014,1:53,PG-13
The Platform,2019,1:34,TV-MA
The Polar Express,2004,1:40,G
The Smurfs,2011,1:43,PG
The Sound of Music,1965,2:52,G
The Spongebob Squarepants Movie,2004,1:27,PG
The Stanford Prison Experiment,2015,2:02,R
The Super Mario Bros. Movie,2023,1:32,PG
The Theory of Everything,2014,2:03,PG-13
The Thing,1982,1:49,R
The Wiggles Movie,1997,1:23,G
The Wizard of Oz,1939,1:42,PG
Time Laspe,2014,1:44,NR
To Kill a Mockingbird,1962,2:09,NR
Tom and Jerry: The Movie,1992,1:24,G
Tommy Boy,1995,1:37,PG-13
Tooth Fairy,2010,1:41,PG
Toy Story,1995,1:21,G
Toy Story 2,1999,1:32,G
Toy Story 3,2010,1:43,G
Toy Story 4,2019,1:40,G
TRON: Legacy,2010,2:05,PG
Unfriended,2014,1:23,R
Up,2009,1:36,PG
V for Vendetta,2005,2:12,R
Venom,2018,1:52,PG-13
WALLÂ·E,2008,1:38,G
WarGames,1983,1:54,PG
Winnie the Pooh,2011,1:03,G
Wizards of Waverly Place: The Movie,2009,1:34,TV-G
Wreck-It Ralph,2012,1:41,PG
Zathura: A Space Adventure,2005,1:41,PG
